id,name,lat_a,lng_a,lat_b,lng_b
a72c0b20-c9b2-4b4a-8ef6-732900dda442,gbaka : Adjamé Agban → Yopougon Camp Militaire,5.3344,-4.055,5.3197,-4.0617
14f530ef-2955-4203-a3c1-d52af36d5476,woro woro : Terminus 82 → Angré Château,5.4047,-3.9851,5.4152,-3.9773
88650b0f-861e-45db-9dae-1012c6ae3463,woro woro : Angré Château → Terminus 82,5.4047,-3.9851,5.4152,-3.9773
1e6bb3f9-c532-432e-a9c9-b1ef1cda139a,woro woro : Riviera 2 - Gare annexe → Terminus 81-82,5.3545,-3.9776,5.4033,-3.9853
cf24ff02-a17f-4acd-aa88-fab4d85fff10,woro woro : Terminus 81-82 → Riviera 2 - Gare annexe,5.3545,-3.9776,5.4029,-3.9853
58c90145-edbb-4b36-8e87-19610ac46cd1,woro woro : Angré 22ème → Riviera 2 - Gare annexe,5.3545,-3.9776,5.398,-3.9905
32c45585-aa3a-4adc-92ca-5834e816b612,woro woro : Riviera 2 - Gare annexe → Angré 22ème,5.3545,-3.9776,5.398,-3.9905
a31e29c6-ffb5-47d1-8b77-fc7c577c57f1,woro woro : Mary'se → Bonoumin,5.3789,-3.9718,5.3585,-3.9652
9684e0b8-68a9-4949-a178-48adbdcfe810,gbaka : Beago Wolosso → Yopougon Palais,5.3098,-4.0761,5.3244,-4.0775
39a1c1dc-5de8-4931-9a80-85d033ed0460,gbaka : Adjamé mosquée → Yopougon Carrefour Académie,5.3594,-4.0288,5.3244,-4.1064
8234a8b0-09b9-4f7c-bacd-b063db4fae11,woro woro : Bonoumin → Mary'se,5.3789,-3.9718,5.3585,-3.9652
847aa740-72c0-419b-81fa-7f3795120cc0,gbaka : Sable → Carrefour CHU,5.3557,-4.0741,5.3552,-4.0885
7962520e-a5bd-4859-8cae-38ad56eeac3b,gbaka : Carrefour CHU → Sable,5.3557,-4.0741,5.3552,-4.0885
1aac0613-53eb-4061-98a1-d7de50e00e46,gbaka : Yopougon Siporex → Yopougon Lokoa,5.3533,-4.0741,5.3193,-4.0997
